INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,longitude,latitude,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID
2009639911.0,2009639911544100,5441,0,traffic-accident,traffic-accident,2009-11-07 08:51:59,,2009-11-07 09:04:00,1300 BLK N BROADWAY ST,3144183.0,1693973.0,-104.9873131,39.7376429,6,623,capitol-hill
2009640005.0,2009640005544100,5441,0,traffic-accident,traffic-accident,2009-11-07 10:05:59,,2009-11-07 10:44:59,,3141936.0,1693674.0,-104.9953087,39.7368567,6,611,civic-center
2009640321.0,2009640321544100,5441,0,traffic-accident,traffic-accident,2009-11-07 14:10:00,,2009-11-07 14:35:00,I70 HWYWB / N PEORIA ST,3183536.0,1707544.0,-104.8470388,39.7742043,5,511,stapleton
2009695494.0,2009695494544100,5441,0,traffic-accident,traffic-accident,2009-12-11 07:44:59,,2009-12-11 07:51:59,4100 BLK W HAMPDEN AVE,3129917.0,1663520.0,-105.0385893,39.6542525,4,423,fort-logan
2009695611.0,2009695611544100,5441,0,traffic-accident,traffic-accident,2009-12-11 09:46:00,,2009-12-11 10:02:59,N BROADWAY ST / W 12TH AVE,3144163.0,1693105.0,-104.9874016,39.7352604,6,611,civic-center
2009695794.0,2009695794544100,5441,0,traffic-accident,traffic-accident,2009-12-11 11:51:59,,2009-12-11 11:55:00,200 BLOCK S FEDERAL BLVD,3133633.0,1684605.0,-105.0250003,39.7120833,4,411,valverde
2009696078.0,2009696078544100,5441,0,traffic-accident,traffic-accident,2009-12-11 14:35:59,,2009-12-11 15:08:59,,3117828.0,1667576.0,-105.0814573,39.665548,4,423,bear-valley
2009696301.0,2009696301544100,5441,0,traffic-accident,traffic-accident,2009-12-11 16:05:00,,2009-12-11 16:05:00,I70 HWYEB / N HAVANA ST,3178234.0,1708027.0,-104.865889,39.7756333,5,511,stapleton
2009696527.0,2009696527544100,5441,0,traffic-accident,traffic-accident,2009-12-11 18:08:59,,2009-12-11 18:08:59,I25 HWYNB / W 8TH AVE,3136459.0,1690899.0,-105.0148359,39.7293207,1,123,lincoln-park
2009620704.0,2009620704544100,5441,0,traffic-accident,traffic-accident,2009-10-27 07:34:59,,2009-10-27 08:06:00,S DOWNING ST / E BUCHTEL BLVD,3148190.0,1676265.0,-104.9734302,39.6889679,3,313,platt-park
